adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
FALSE,/oiz2JFxXwbyyfu2VUZejnak9JyQ.jpg,"c(9648, 10770, 10749)",746466,en,The Angel Tree,"A writer seeks the identity of the person who helps grant wishes that are placed upon the angel tree, and in the process, reconnects with her childhood friend.",4.099,/3ykv13npXiwTQiMv3Qf2VXIOdPW.jpg,2020-11-21,The Angel Tree,FALSE,6.8,24
FALSE,/eepfrC6eZCyyYpBF24ftSv4Lz8h.jpg,"c(10770, 10749)",561297,en,Hometown Holiday,"Krista is starting this New Year with a new business and a resolution to be more selective with who she dates. When Krista meets Ryan Rourke, an entertainment lawyer from LA, the two really hit it off. Ryan is in her hometown to sign a local rancher turned viral signing sensation as his new client. Now with Krista also in Rust Creek, maybe there is more of a reason to stick around. Both are holding onto things from their past and are forced to make some decisions if they truly want to be together.",6.408,/w3bGT5QJFO34axxboOOYyWMjt5V.jpg,2018-11-09,Hometown Holiday,FALSE,5.6,18
FALSE,/hOCrRi5ttuGGI5V1iyLEHtvKYhs.jpg,"c(10751, 10749, 18)",748765,en,Middleton Christmas,"In a small town, high-school dean Alana and her vivacious teenage daughter Samantha plan a holiday concert to save the school with the help of the new maintenance man, Army veteran Johnny, and his quiet son Max. But when a car accident lands Sam in a life-threatening condition, Alana turns to Johnny for support, and Max makes a desperate decision that will forever bond their families together. All four must question their values about sacrifice, family, and love - and what it means to be thankful for another Christmas.",6.327,/om8n8atZcHHcidDzfS43IYiNyIQ.jpg,2020-10-28,Middleton Christmas,FALSE,7.1,7
FALSE,/itINJtge67KDWo4hw0ZYAMVsc67.jpg,"c(35, 10749)",42443,it,Vacanze di Natale '90,Several characters coincide during the Christmas holidays in the winter season of Saint Moritz.,5.099,/pJKKjFIItN4QTMGxa6P8ZxUHjei.jpg,1990-12-12,Christmas Vacation '90,FALSE,5,147
FALSE,/gJEHECNKGwyQxSNnXTi5JZtYL7Q.jpg,"c(10751, 10749, 10770)",550017,en,Road to Christmas,"Los Angeles television producer Maggie Baker unwittingly falls for Danny Wise, the son and former producer of his mother’s popular annual Christmas special Julia Wise Lifestyle. When Maggie’s secret plan to reunite Danny and his two brothers with Julia during the live broadcast in Vermont goes awry, Maggie is reminded that above all, it is the love for family and friends that makes the merriest of Christmas.",5.329,/7F46Dl9oHsVjdCxQtNReXrD4PUq.jpg,2018-11-04,Road to Christmas,FALSE,6.4,99
FALSE,/ojsxr2OXLmmMDNK0dYhcJbEynII.jpg,"c(10749, 10770)",737779,en,Chateau Christmas,"Margot, a world-renowned pianist, returns to Chateau Newhaus to spend the holidays with her family and is reunited with an ex who helps her rediscover her passion for music.",4.693,/6ZgaL0HewMSMlvV6FHXG7VwtTMe.jpg,2020-10-25,Chateau Christmas,FALSE,6.4,36
FALSE,/jS6cuNFxZyS4mCJRyrtR0vPFOed.jpg,"c(10749, 10770)",366631,en,On the Twelfth Day of Christmas,Maggie Chalke is torn between her journalistic integrity and helping her long time crush Mitch O'Grady when her boss orders her to write a story for the paper about the Secret Santa gifts she's been sending Mitch to help him relearn his love for Christmas.,6.837,/cXRhRMJ0PrlU0vfchjmcKS1uypx.jpg,2015-12-12,On the Twelfth Day of Christmas,FALSE,6.4,58
FALSE,/zBglaNoLaMTHuGYPp16Tr6WRIXQ.jpg,"c(10749, 35)",768232,en,Boxing Day,"Melvin, a British author living in America, returns home to London for Christmas to introduce his American fiancée Lisa to his eccentric British-Caribbean family. Their relationship is put to the test as she discovers the world her fiancé has left behind.",4.691,/yIxUIMwtre6aoWmje3eRgjKQAKa.jpg,2021-12-03,Boxing Day,FALSE,6.9,19
FALSE,/eudXxm6dNPcpSoGaUmUtczvVBwQ.jpg,"c(10770, 35, 18, 10749)",874257,en,Jingle Bell Princess,"An actual princess has some mechanical issues and is temporarily grounded.  Does she have time for a lobster roll? It is Christmas time in Maine which means snow, quaint scenery, and lots of Christmas lights near the ocean.  With the crew distracted attending to the repair, Princess Amelia deplanes to walk through a magical Christmas tree lot near the airport perimeter.",7.619,/jqxh21dySEujfIvxQaIV3ti6oj5.jpg,2021-12-04,Jingle Bell Princess,FALSE,6.7,25
FALSE,/6eUC9PgcJ8Wzb5Puj3UMu7uxnM4.jpg,"c(10770, 10749)",890757,en,A Christmas Proposal,"Chef who dreams of having own food trucks, agrees to pose as girlfriend of an attorney. Working together, they try to prove he's the ideal candidate to take over the family firm, but is complicated as real sparks begin to fly.",4.947,/4XzORktcHQOuNPT68SjfnFbWljy.jpg,2021-12-12,A Christmas Proposal,FALSE,6,11
FALSE,/k9N3hvyAiAzrBaE62BdRBIO6gwL.jpg,"c(10770, 10749)",630898,en,A Blue Ridge Mountain Christmas,"Hotel manager Willow returns to her stunning Virginia hometown to help her sister plan a Christmas wedding at the inn her family once owned. She must work with current owner and single dad David, who wants to let go of the past.",7.791,/fIr0zZbPtJyInJr7lu0isd8yu0O.jpg,2019-11-07,A Blue Ridge Mountain Christmas,FALSE,6.5,29
FALSE,/AaS3uD7RUMGMXdZzhI4ITa4aSMO.jpg,"c(18, 10749, 10751)",13610,en,Christmas Cottage,"Inspired by the picturesque paintings of Thomas Kinkade, The Christmas Cottage tells the semi-autobiographical tale of how a young boy is propelled to launch a career as an artist after he learns that his mother is in danger of losing the family home.",4.876,/xgVxmbD4mLtvelP8U5jbT7Rxjiv.jpg,2008-10-15,Christmas Cottage,FALSE,6.5,43
FALSE,/qTHpxLjOadI2fcCoi5o1zUN9Ofo.jpg,"c(10770, 35, 18, 10749)",1027442,en,A Maple Valley Christmas,"Erica is a rancher who has spent her whole life working the family farm with her mother and sister. When Aaron arrives and disrupts her plans, she starts to question what it is she actually wants.",7.777,/qLqT1uazzih2dn5PVSiqPDAx0l4.jpg,2022-11-05,A Maple Valley Christmas,FALSE,6.8,17
FALSE,/eZgexs88GCfhH7TuvGilN9Rcy7y.jpg,"c(18, 10770, 10749)",491761,en,Rocky Mountain Christmas,"Sarah Davis heads to her uncle’s struggling ranch to escape New York and the spotlight from a recent breakup. Returning home for the first time since her aunt passed, complications arise when Graham, an entitled Hollywood star, arrives at the ranch to prepare for his next film. As Sarah and Graham start to bond, Sarah may get more for Christmas than she bargained for.",6.276,/eWVdohxVPj58vqUBbxOcjor4PjF.jpg,2017-12-22,Rocky Mountain Christmas,FALSE,6.4,48
FALSE,/3xY6yftacoSxtkrgiRhDnT6nU0R.jpg,"c(10770, 10749, 35)",421625,en,My Christmas Love,"A hopeless romantic who can’t ever seem to give a guy a real chance begins receiving each of the ""12 Days of Christmas” as gifts anonymously at her door. As she tries to figure out who is sending the gifts, she begins to believe that the mystery suitor could finally live up to her expectations.",7.708,/7LSB2LDYEQLXYQkdk98MKsrfLTz.jpg,2016-12-17,My Christmas Love,FALSE,6.3,61
FALSE,/rToVdkhRishbanfsw0QbTMAyA3T.jpg,"c(10749, 18, 10770, 14)",535809,en,A Shoe Addict's Christmas,"As Christmas approaches, a department store worker whose life lacks fulfillment meets her guardian angel, who offers her a chance to change her circumstances by magically transporting her to Christmases past whenever she tries on a new pair of shoes.",6.415,/dXy55JISYOfUKZdpKG1A8yegHzw.jpg,2018-11-25,A Shoe Addict's Christmas,FALSE,6.4,61
FALSE,/frJzRmqrtaakV7Hq0tIDglzQ2gL.jpg,"c(35, 10770, 10749)",365756,en,A Dogwalker's Christmas Tale,Spoiled 21-year-old Luce Lockhart faces a tough decision when a handsome new friend asks her to help protect a dog park from her wealthy employer.,4.885,/cInkAcLdI4dWYqL9IQ7tmMmg9yC.jpg,2018-10-23,A Dogwalker's Christmas Tale,FALSE,6.3,35
FALSE,/hDoftP2aCnNlKU78nKbwNn7ZYxh.jpg,"c(10749, 10770)",369057,en,A Prince for Christmas,A prince from Europe meets a charming waitress when he travels to America during the Christmas holiday to escape an arranged marriage.,5.439,/hyMRbk3aVjc8E5eXZLtvAhRLDQ0.jpg,2015-11-29,A Prince for Christmas,FALSE,6,87
FALSE,/rKcOKSKPeMkvNoX9MOfIlq4feiu.jpg,"c(35, 10749, 10770)",421622,en,Looks Like Christmas,"When two type-A single parents battle it out for control of the Christmas holiday at their kid’s middle school, they get more than they bargained for when they learn a little something about the true meaning of Christmas, while opening themselves up for the possibility of a new romance.",6.168,/mekjG3Ev970kJmmWRs7kYTxAvom.jpg,2016-12-04,Looks Like Christmas,FALSE,5.6,28
FALSE,/pgDnSrmBJO2BEdxnN4PNUViVPvg.jpg,"c(10770, 10749, 18)",465501,en,The Christmas Cure,"A doctor returns home for Christmas to find that her father has decided to retire from his own practice. After reuniting with her high school sweetheart, she wonders if she should stay and take over her father's practice.",7.526,/q5lRVUm0qFUUP4Ffo7z6kAHflBL.jpg,2017-07-15,The Christmas Cure,FALSE,6,40
FALSE,/cTBPsiLl18yvKpuKlgiwhojSyYt.jpg,"c(10751, 14, 10749, 10770)",240911,en,My Santa,"A young, single mother, Jen, begins to lose her faith in the magic of Christmas. However, when she takes her son Eric to see the local mall Santa, Jen immediately feels an attraction and connection with Chris, the young, attractive man filling the suit. As they begin spending time together, she begins to rediscover her belief in Christmas.",7.28,/wZWCPhQP1kjJfohMz0c43ID3OSd.jpg,2013-11-29,My Santa,FALSE,5.6,32
FALSE,/mFBmZtS7j9jFEP06hHzntKzX1LN.jpg,"c(35, 10749)",26319,en,The Man Who Came to Dinner,An acerbic critic wreaks havoc when a hip injury forces him to move in indefinitely with a Midwestern family.,5.553,/3k6KVD9RKADkfFzHLE4ho9yWumO.jpg,1942-01-01,The Man Who Came to Dinner,FALSE,6.7,58
FALSE,/2GZNOx4QPhDTKXPLUmvdoOyAF3P.jpg,"c(35, 10749)",882102,en,A Naija Christmas,Three sons try to make their mother’s dreams come true by bringing home wives for Christmas.,4.383,/qPExVpBnDwB8kL9buIqGVNDzYrb.jpg,2021-12-16,A Naija Christmas,FALSE,6.8,43
FALSE,/utiZl7zWP1pxE0fZTlFqDt4cTSm.jpg,"c(10770, 35, 10749, 18)",1033528,en,Fit for Christmas,A Christmas-obsessed fitness instructor begins a holiday romance with a mysterious businessman. The new relationship soon complicates his plans to turn a beleaguered community center into a financially profitable resort.,5.258,/mAN4j0h7pWas4Od8Y5zRr2lIru9.jpg,2022-12-04,Fit for Christmas,FALSE,5.3,4
